node_id,x,y,z
12391,1421.48,631.658,199.004
12392,1425.16,628.887,194.813
12393,1425.16,628.887,199.145
12394,1428.87,626.099,194.717
12395,1428.87,626.099,199.26
12396,1432.59,623.294,194.618
12397,1432.59,623.294,199.351
12398,1436.34,620.474,194.517
12399,1436.34,620.474,199.431
12400,1440.11,617.637,194.414
12401,1440.11,617.637,199.49
12402,1443.91,614.783,194.309
12403,1443.91,614.783,199.512
12404,1447.72,611.913,194.203
12405,1447.72,611.913,199.503
12406,1451.56,609.026,194.096
12407,1451.56,609.026,199.472
12408,1455.42,606.122,193.988
12409,1455.42,606.122,199.425
12410,1459.3,603.201,193.879
12411,1459.3,603.201,199.364
12412,1463.21,600.263,193.769
12413,1463.21,600.263,199.276
12414,1467.14,597.307,193.658
12415,1467.14,597.307,199.149
12416,1471.09,594.333,193.546
12417,1471.09,594.333,199.004
12418,1475.06,591.342,193.432
12419,1479.06,588.333,193.317
12420,1483.09,585.306,193.198
12421,1487.13,582.26,193.077
12422,1491.21,579.196,192.952
12423,1495.3,576.114,192.823
12424,1495.3,576.114,197.604
12425,1507.75,566.753,192.399
12426,1511.68,563.79,192.253
12427,1511.68,563.79,196.061
12428,1593.97,877.308,220.166
12429,1591.42,879.226,220.217
12430,1593.97,877.308,223.323
12431,1591.42,879.225,223.185
12432,1651.87,833.741,218.962
12433,1648.81,836.044,219.044
12434,1645.77,838.334,219.123
12435,1645.77,838.334,222.756
12436,1642.74,840.61,219.199
12437,1642.74,840.61,222.908
12438,1639.74,842.872,219.272
12439,1639.74,842.872,223.054
12440,1636.75,845.121,219.342
12441,1636.75,845.121,223.196
12442,1633.78,847.356,219.409
12443,1633.78,847.356,223.322
12444,1630.82,849.578,219.473
12445,1630.82,849.578,223.416
12446,1627.89,851.787,219.534
12447,1627.89,851.787,223.496
12448,1624.97,853.983,219.593
12449,1624.97,853.983,223.568
12450,1622.07,856.165,219.65
12451,1622.07,856.165,223.627
12452,1619.19,858.334,219.705
12453,1619.19,858.334,223.673
12454,1616.32,860.493,219.758
12455,1616.32,860.493,223.703
12456,1613.47,862.638,219.81
12457,1613.47,862.638,223.718
12458,1610.63,864.77,219.86
12459,1610.63,864.77,223.716
12460,1607.81,866.89,219.911
12461,1607.81,866.89,223.696
12462,1605.01,868.998,219.961
12463,1605.01,868.998,223.657
12464,1602.23,871.093,220.011
12465,1602.23,871.093,223.622
12466,1599.46,873.176,220.062
12467,1599.46,873.176,223.557
12468,1596.71,875.248,220.113
12469,1596.71,875.248,223.456
12470,1588.54,881.392,220.276
12471,1588.54,881.392,223.018
12472,1585.66,883.555,220.337
12473,1585.66,883.555,222.78
12474,1706.8,917.56,230.337
12475,1709.51,915.522,230.265
12476,1706.8,917.56,233.254
12477,1709.52,915.514,233.02
12478,1647.87,961.896,231.983
12479,1650.49,959.924,231.93
12480,1647.87,961.896,234.347
12481,1650.49,959.923,234.489
12482,1645.25,963.866,232.032
12483,1645.25,963.866,234.181
12484,1652.69,958.272,231.884
12485,1652.69,958.272,234.618
12486,1655.11,956.445,231.83
12487,1655.11,956.445,234.73
12488,1657.56,954.607,231.772
12489,1657.56,954.607,234.783
12490,1660.01,952.758,231.711
12491,1660.01,952.758,234.822
12492,1662.49,950.899,231.647
12493,1662.49,950.899,234.855
12494,1664.97,949.029,231.581
12495,1664.97,949.029,234.876
12496,1667.47,947.148,231.511
12497,1667.47,947.148,234.883
12498,1669.99,945.256,231.44
12499,1669.99,945.256,234.875
12500,1672.52,943.353,231.365
12501,1672.52,943.353,234.85
12502,1675.06,941.439,231.289
12503,1675.06,941.439,234.807
12504,1677.62,939.513,231.211
12505,1677.62,939.513,234.746
12506,1680.19,937.576,231.132
12507,1680.19,937.576,234.673
12508,1682.78,935.628,231.052
12509,1682.78,935.628,234.595
12510,1685.39,933.668,230.971
12511,1685.39,933.668,234.507
12512,1688.01,931.697,230.89
12513,1688.01,931.697,234.397
12514,1690.64,929.713,230.808
12515,1690.64,929.713,234.273
12516,1693.3,927.718,230.727
12517,1693.3,927.718,234.138
12518,1695.96,925.711,230.647
12519,1695.96,925.711,234.0
12520,1698.65,923.692,230.567
12521,1698.65,923.692,233.853
12522,1701.35,921.66,230.489
12523,1701.35,921.66,233.68
12524,1704.07,919.617,230.413
12525,1704.07,919.617,233.477
12526,1712.31,913.41,230.192
12527,1712.31,913.41,232.771
12528,1715.12,911.299,230.122
12529,1715.12,911.299,232.516
12530,1680.88,874.492,224.566
12531,1683.8,872.292,224.5
12532,1680.88,874.492,227.549
12533,1683.8,872.291,227.313
12534,1618.2,921.644,226.146
12535,1620.95,919.574,226.063
12536,1618.2,921.644,228.585
12537,1620.95,919.575,228.752
12538,1615.46,923.711,226.229
12539,1615.46,923.711,228.436
12540,1623.33,917.79,225.992
12541,1623.33,917.79,228.863
12542,1625.91,915.846,225.914
12543,1625.91,915.846,228.948
12544,1628.51,913.892,225.837
12545,1628.51,913.892,229.022
12546,1631.12,911.926,225.761
12547,1631.12,911.926,229.076
12548,1633.75,909.948,225.685
12549,1633.75,909.948,229.102
12550,1636.39,907.959,225.61
12551,1636.39,907.959,229.119
12552,1639.05,905.959,225.537
12553,1639.05,905.959,229.13
12554,1641.73,903.947,225.465
12555,1641.73,903.947,229.132
12556,1644.42,901.923,225.394
12557,1644.42,901.923,229.117
12558,1647.12,899.887,225.325
12559,1647.12,899.887,229.083
12560,1649.84,897.839,225.258
12561,1649.84,897.839,229.027
12562,1652.58,895.779,225.192
12563,1652.58,895.779,228.951
12564,1655.34,893.707,225.127
12565,1655.34,893.707,228.857
12566,1658.11,891.623,225.063
12567,1658.11,891.623,228.752
12568,1660.89,889.526,225.0
12569,1660.89,889.526,228.637
12570,1663.7,887.417,224.939
12571,1663.7,887.417,228.513
12572,1666.52,885.295,224.877
12573,1666.52,885.295,228.38
12574,1669.35,883.16,224.816
12575,1669.35,883.16,228.236
12576,1672.21,881.013,224.755
12577,1672.21,881.013,228.08
12578,1675.08,878.852,224.693
12579,1675.08,878.852,227.919
12580,1677.97,876.679,224.63
12581,1677.97,876.679,227.743
12582,1686.74,870.078,224.431
12583,1686.74,870.078,227.018
12584,1689.69,867.86,224.361
12585,1689.69,867.86,226.787
12586,1486.47,551.478,190.758
12587,1490.97,548.091,190.576
12588,1486.47,551.478,195.438
12589,1490.96,548.093,195.006
12590,1395.72,619.754,193.424
12591,1399.44,616.956,193.326
12592,1399.44,616.955,197.0
12593,1392.01,622.545,193.519
12594,1392.01,622.545,196.434
12595,1403.13,614.173,193.228
12596,1403.13,614.173,197.237
12597,1406.88,611.358,193.127
12598,1406.88,611.358,197.408
12599,1410.64,608.529,193.026
12600,1410.64,608.529,197.53
12601,1414.43,605.678,192.922
12602,1414.43,605.678,197.64
12603,1418.23,602.819,192.819
12604,1418.23,602.819,197.74
12605,1422.05,599.939,192.715
12606,1422.05,599.939,197.821
12607,1425.9,597.042,192.61
12608,1425.9,597.042,197.869
12609,1429.78,594.129,192.505
12610,1429.78,594.129,197.879
12611,1433.67,591.198,192.399
12612,1433.67,591.198,197.866
12613,1437.59,588.25,192.292
12614,1437.59,588.25,197.838
12615,1441.53,585.285,192.184
12616,1441.53,585.285,197.779
12617,1445.5,582.303,192.075
12618,1445.5,582.303,197.696
12619,1449.48,579.302,191.963
12620,1449.48,579.302,197.598
12621,1453.49,576.284,191.849
12622,1453.49,576.284,197.486
12623,1457.53,573.248,191.732
