"ID","10..Simcenter NASTRAN Case 5, 8065..Plate Mid X Normal Strain","10..Simcenter NASTRAN Case 5, 8066..Plate Mid Y Normal Strain","10..Simcenter NASTRAN Case 5, 8068..Plate Mid XY Shear Strain"
1917,-0.0014604,0.00037298,-0.00129603
1918,-0.00153718,0.000398896,-0.00144782
1919,-0.00160407,0.000422748,-0.00140705
1920,-0.00167677,0.000407471,-0.00153629
1921,-0.00156099,0.00039629,-0.00135192
1922,-0.00157913,0.000387234,-0.0013035
1923,-0.00156178,0.000373618,-0.00119816
1924,-0.00147412,0.000324066,-0.00109465
1925,0.000327594,-0.00110222,0.00131511
1926,0.000371851,-0.00122975,0.00123765
1927,-0.00176222,0.000377005,-0.00112694
1928,-0.00168015,0.000373969,-0.00117814
1929,0.000382699,-0.00203371,0.000603021
1930,-0.00201733,0.000381862,-0.000593043
1931,-0.00181871,0.000426566,-0.00125748
1932,0.000403177,-0.00171143,0.00127945
1933,0.000419864,-0.00133,0.000319869
1934,0.000419478,-0.00132393,0.000219783
1935,0.000378175,-0.00144164,0.000157579
1936,0.000314314,-0.00113223,0.00149331
1937,0.000358127,-0.00128862,0.0013133
1938,0.000498878,-0.00220073,0.000550504
1939,0.000477831,-0.00216964,0.000497269
1940,0.00045151,-0.00208945,0.000518935
1941,0.000423018,-0.00200816,0.000331253
1942,0.000409437,-0.00198302,0.000256826
1943,-0.00198071,0.000398799,-0.000128545
1944,0.000359022,-0.00132712,-0.000301038
1945,0.000350058,-0.0013263,-0.000500959
1946,-0.00118458,0.000348153,-0.00123235
1947,-0.00127581,0.000342068,-0.00136755
1948,-0.00131905,0.000380038,-0.00112381
1949,-0.00140943,0.000385744,-0.0012037
1950,-0.00136967,0.000395034,-0.00105622
1951,-0.00146378,0.000402727,-0.00112235
1952,-0.00141279,0.000408164,-0.000984002
1953,-0.00151271,0.000418815,-0.00103535
1954,0.000366343,-0.00125931,0.000905916
1955,0.000417683,-0.00144982,0.000900914
1956,-0.00155539,0.000431952,-0.000944105
1957,0.000379992,-0.00128074,0.000805771
1958,-0.00159024,0.000442424,-0.000851775
1959,-0.00148095,0.000425296,-0.000814471
1960,-0.00138011,0.000411073,-0.000726507
1961,-0.0015055,0.000432858,-0.000723433
1962,-0.0016178,0.000451154,-0.000755652
1963,-0.00139677,0.000417255,-0.000624487
1964,-0.00152443,0.000438347,-0.000628241
1965,-0.00163926,0.000457354,-0.00065838
1966,-0.00140847,0.000421262,-0.000523452
1967,-0.00153782,0.000441932,-0.000529578
1968,-0.00165489,0.000461725,-0.000557665
1969,-0.00141483,0.000423034,-0.000421494
1970,-0.00154506,0.000444531,-0.000427869
1971,-0.00166368,0.000464571,-0.00045526
1972,-0.00222215,0.000481571,-0.000796395
1973,-0.00151613,0.000407588,-0.0000723834
1974,-0.00149286,0.000402354,0.0000425695
1975,-0.00146409,0.000394044,0.000157214
1976,0.000367562,-0.0013817,-0.000380835
1977,0.000446118,-0.00197735,0.000193629
1978,-0.00129048,0.000369882,0.000492339
1979,-0.00138491,0.000389437,0.00046833
1980,-0.00148217,0.000404971,0.000433986
1981,-0.00157758,0.000411102,0.000430912
1982,-0.00167588,0.000419263,0.000432179
1983,-0.00179636,0.000457198,0.000454534
1984,-0.00153443,0.000440975,0.000277099
1985,-0.00165412,0.00042803,0.000141917
1986,-0.00164958,0.0004479,0.000156027
1987,0.000448686,-0.00172248,-0.000234533
1988,-0.00180506,0.000465701,0.000282134
1989,-0.00194778,0.000517137,0.000329639
1990,-0.00204,0.000547796,0.000370104
1991,0.000555189,-0.00205708,-0.000266467
1992,-0.00114826,0.000340811,0.000525258
1993,-0.00187692,0.000494349,0.000302935
1994,-0.00166623,0.000414572,-0.00132924
1995,-0.00181357,0.000421814,-0.00147693
1996,-0.00172337,0.000435109,-0.00143927
1997,-0.00166232,0.000424504,-0.00137718
1998,-0.00160702,0.000417783,-0.00126376
1999,-0.00162335,0.000400398,-0.00124319
2000,-0.00158112,0.000403351,-0.00128648
2001,-0.00151925,0.000389907,-0.0013244
2002,-0.00146628,0.000373732,-0.00130557
2003,-0.00142478,0.000370588,-0.00134682
