"ID","5..Simcenter NASTRAN Case 5, 8065..Plate Mid X Normal Strain","5..Simcenter NASTRAN Case 5, 8066..Plate Mid Y Normal Strain","5..Simcenter NASTRAN Case 5, 8068..Plate Mid XY Shear Strain"
1677,0.0000348288,-0.0000486506,0.0000564576
1678,0.0000345486,-0.0000475548,0.0000841267
1679,0.0000342486,-0.0000468867,0.000113422
1680,0.0000232381,-0.0000475918,0.000309276
1681,-0.00139711,0.00044645,-0.000896837
1682,-0.00138845,0.00044824,-0.000792195
1683,-0.0000437374,0.0000323115,-0.000133223
1684,0.000421901,-0.00137564,0.000237362
1685,0.0000446765,-0.0000933186,0.0000135294
1686,0.000281263,-0.000927189,-0.000150357
1687,0.000334791,-0.00109344,-0.000166551
1688,0.000257679,-0.000875255,-0.000322159
1689,-0.00103581,0.00031065,0.000374092
1690,0.0000229203,-0.0000219967,-0.0000852471
1691,0.0000341449,-0.0000855038,-0.000136193
1692,0.0000672074,-0.000173285,-0.000183196
1693,0.0000894033,-0.000290483,-0.000180225
1694,-0.000381532,0.000126188,0.00017701
1695,0.000147788,-0.000487143,-0.00031084
1696,0.000164288,-0.000484392,-0.00030729
1697,-0.000627397,0.000188798,0.000347295
1698,0.000221749,-0.000749693,-0.00038648
1699,0.000265179,-0.00088544,-0.000442691
1700,-0.0000863875,0.0000207932,-0.000488898
1701,0.0000397622,-0.0000677224,0.000420471
1702,0.0000648306,-0.000110861,0.00021007
1703,0.0000652855,-0.000114262,0.000176482
1704,0.0000648585,-0.000114858,0.00013717
1705,0.0000630348,-0.000114006,0.000100246
1706,0.0000601715,-0.000112069,0.0000627951
1707,-0.000108089,0.000056002,-0.0000224089
1708,0.000361525,-0.00116771,0.00137551
1709,0.000447952,-0.00137352,0.000685887
1710,0.000237605,-0.000777822,-0.000142653
1711,0.00021779,-0.000733605,-0.000291463
1712,0.000354452,-0.00114852,0.00040732
1713,0.000357143,-0.0011521,0.000311055
1714,0.000357336,-0.00115144,0.000222665
1715,-0.000199623,0.0000672011,-0.000639267
1716,-0.000203761,0.0000968943,-0.000261626
1717,0.0000976029,-0.000206965,0.000214459
1718,0.0000977702,-0.000208579,0.000164992
1719,0.0000967479,-0.000209091,0.000117076
1720,-0.000207853,0.0000944356,-0.0000695436
1721,0.0000916039,-0.000204678,0.0000209536
1722,0.0000707093,-0.000211817,0.000802062
1723,0.000124129,-0.000318117,0.000320707
1724,0.000124516,-0.00032104,0.000264575
1725,0.000123482,-0.000322615,0.000206361
1726,0.000121534,-0.000322701,0.000151096
1727,-0.000320907,0.000118561,-0.000095392
1728,0.00011431,-0.000317124,0.0000404126
1729,0.000296472,-0.00102721,0.00127703
1730,0.000404186,-0.00127241,0.000782966
1731,0.000415056,-0.0012973,0.00068263
1732,0.0000279104,-0.0000347544,0.000184246
1733,0.0000305162,-0.0000389608,0.000160696
1734,0.000301251,-0.000981631,0.000362959
1735,0.0000501692,-0.000101777,-0.0000262452
1736,0.000346122,-0.00112902,0.00059442
1737,-0.00114126,0.000350905,-0.000501685
1738,0.000259434,-0.000906623,0.00114873
1739,0.0000261909,-0.0000289871,-0.0000744716
1740,0.0000289251,-0.0000344376,-0.0000496785
1741,-0.000593585,0.000144248,-0.00102643
1742,-0.000735189,0.000203792,-0.00108454
1743,-0.000861893,0.000239329,-0.00121191
1744,-0.000429418,0.000107828,-0.00096455
1745,-0.000519398,0.000163457,-0.00089226
1746,-0.000620255,0.000171733,-0.000986531
1747,-0.00107953,0.000321872,-0.00120233
1748,-0.00122639,0.000384897,-0.00130426
1749,-0.000949482,0.00027619,-0.00108485
1750,0.0000800042,-0.000234141,0.000571305
1751,-0.000353624,0.000109327,-0.000706245
1752,-0.000990789,0.000291438,-0.00101213
1753,-0.00112768,0.000343073,-0.00112987
1754,-0.00128839,0.000405749,-0.00122917
1755,-0.000054542,0.0000264094,-0.00028873
1756,-0.000247541,0.0000866329,-0.000530453
1757,-0.000368725,0.000115609,-0.000654436
1758,-0.000124636,0.0000478078,-0.000407192
1759,-0.0000606529,0.0000293289,-0.000262667
1760,-0.000135673,0.0000533839,-0.000378602
1761,-0.000259802,0.0000929638,-0.000489606
1762,-0.00038247,0.000122061,-0.000597543
1763,-0.0000682077,0.0000327177,-0.000234361
1764,-0.000145661,0.0000582197,-0.000343671
1765,-0.000271794,0.0000970131,-0.000442665
1766,-0.000396686,0.000127283,-0.000537318
1767,-0.00108666,0.000329563,-0.000765015
1768,-0.00124096,0.000390643,-0.000871733
1769,-0.0000755997,0.0000357848,-0.000212477
1770,-0.000154193,0.0000617396,-0.000310474
1771,-0.00111121,0.000338639,-0.000684121
1772,-0.000281863,0.000100703,-0.000398468
1773,0.000302004,-0.000983659,0.000275462
1774,-0.000978962,0.000301649,-0.000195516
1775,-0.000159063,0.0000553205,0.0000820936
1776,0.00022776,-0.000756812,-0.000223829
1777,-0.000779267,0.000222416,-0.00102522
1778,-0.000652065,0.00018749,-0.000945737
1779,-0.000548719,0.000170323,-0.000848152
1780,-0.00061676,0.000157744,-0.000980393
1781,-0.000449458,0.000120535,-0.000910727
1782,0.00017959,-0.000499548,-0.000227028
1783,0.000160064,-0.000512219,-0.000217062
1784,-0.0004014,0.000133785,0.000131383
1785,0.000190186,-0.000615302,-0.000205461
1786,-0.000866806,0.000279842,-0.000451746
1787,0.000259204,-0.000823125,0.000247323
1788,0.000257345,-0.000818909,0.000170903
1789,0.000253854,-0.000810343,0.0000901166
1790,0.000249158,-0.000799735,0.0000112006
1791,0.000242877,-0.00079095,-0.0000819468
1792,0.000120486,-0.000361017,0.00085883
1793,0.000128479,-0.000378562,0.000802056
